Last updated: Mon Dec 08 2025 14:05:08 GMT-0600 (Central Standard Time),,,,,,,,
ec5_uuid,created_at,uploaded_at,title,date,plot,species_common,observer,comments
11fd052d-abbc-4292-9127-493b50b362c9,2025-11-23T17:39:54.000Z,2025-11-23T17:40:06.000Z,11fd052d-abbc-4292-9127-493b50b362c9,23/11/2025,House garden,Pansy,Owen,
b89c4f5b-0220-486b-9ac7-376069ccb4b3,2025-11-23T17:34:03.000Z,2025-11-23T17:34:14.000Z,b89c4f5b-0220-486b-9ac7-376069ccb4b3,23/11/2025,House garden,Hollyhock,Owen,
b89c4f5b-0220-486b-9ac7-376069ccb4b3,2025-11-23T17:34:03.000Z,2025-11-23T17:34:14.000Z,b89c4f5b-0220-486b-9ac7-376069ccb4b3,23/11/2025,House garden,Salvia,Owen,
b89c4f5b-0220-486b-9ac7-376069ccb4b3,2025-11-23T17:34:03.000Z,2025-11-23T17:34:14.000Z,b89c4f5b-0220-486b-9ac7-376069ccb4b3,23/11/2025,House garden,Eastern Cat-mint,Owen,
9ef914e7-3f9b-4a34-8c8f-c5cb4edadb66,2025-11-23T17:33:10.000Z,2025-11-23T17:34:11.000Z,9ef914e7-3f9b-4a34-8c8f-c5cb4edadb66,23/11/2025,Other,Chrysanthemum,Owen,
795cfb3c-8abf-4f98-98a9-fafdecfbde99,2025-11-23T17:32:46.000Z,2025-11-23T17:34:09.000Z,795cfb3c-8abf-4f98-98a9-fafdecfbde99,23/11/2025,"""Native"" garden",Pot Marigold,Owen,
795cfb3c-8abf-4f98-98a9-fafdecfbde99,2025-11-23T17:32:46.000Z,2025-11-23T17:34:09.000Z,795cfb3c-8abf-4f98-98a9-fafdecfbde99,23/11/2025,"""Native"" garden",Black-eyed Susan,Owen,
795cfb3c-8abf-4f98-98a9-fafdecfbde99,2025-11-23T17:32:46.000Z,2025-11-23T17:34:09.000Z,795cfb3c-8abf-4f98-98a9-fafdecfbde99,23/11/2025,"""Native"" garden",Sweet Alyssum,Owen,
33d7bd61-4848-410c-a8ce-74c8bde9cb0c,2025-11-21T22:45:01.000Z,2025-11-21T22:45:14.000Z,33d7bd61-4848-410c-a8ce-74c8bde9cb0c,21/11/2025,Other,Chrysanthemum,Liz,
f911d418-153d-4e04-9cd6-54f00087fe95,2025-11-21T22:44:30.000Z,2025-11-21T22:45:11.000Z,f911d418-153d-4e04-9cd6-54f00087fe95,21/11/2025,House garden,Hollyhock,Liz,
f911d418-153d-4e04-9cd6-54f00087fe95,2025-11-21T22:44:30.000Z,2025-11-21T22:45:11.000Z,f911d418-153d-4e04-9cd6-54f00087fe95,21/11/2025,House garden,Salvia,Liz,
f911d418-153d-4e04-9cd6-54f00087fe95,2025-11-21T22:44:30.000Z,2025-11-21T22:45:11.000Z,f911d418-153d-4e04-9cd6-54f00087fe95,21/11/2025,House garden,Eastern Cat-mint,Liz,
9d0f46d2-b0dc-4191-b959-2fc6e18979fa,2025-11-21T22:43:53.000Z,2025-11-21T22:45:09.000Z,9d0f46d2-b0dc-4191-b959-2fc6e18979fa,21/11/2025,"""Native"" garden",Pot Marigold,Liz,
9d0f46d2-b0dc-4191-b959-2fc6e18979fa,2025-11-21T22:43:53.000Z,2025-11-21T22:45:09.000Z,9d0f46d2-b0dc-4191-b959-2fc6e18979fa,21/11/2025,"""Native"" garden",Sweet Alyssum,Liz,
9d0f46d2-b0dc-4191-b959-2fc6e18979fa,2025-11-21T22:43:53.000Z,2025-11-21T22:45:09.000Z,9d0f46d2-b0dc-4191-b959-2fc6e18979fa,21/11/2025,"""Native"" garden",Black-eyed Susan,Liz,
a80b6a71-b83f-4948-847c-117802768f9e,2025-11-18T21:45:13.000Z,2025-11-18T21:45:24.000Z,a80b6a71-b83f-4948-847c-117802768f9e,18/11/2025,Other,Chrysanthemum,Owen,
02081fa1-0bfc-45ba-a391-f156bdf84adc,2025-11-18T21:44:58.000Z,2025-11-18T21:45:21.000Z,02081fa1-0bfc-45ba-a391-f156bdf84adc,18/11/2025,House garden,Pansy,Owen,
02081fa1-0bfc-45ba-a391-f156bdf84adc,2025-11-18T21:44:58.000Z,2025-11-18T21:45:21.000Z,02081fa1-0bfc-45ba-a391-f156bdf84adc,18/11/2025,House garden,Salvia,Owen,
02081fa1-0bfc-45ba-a391-f156bdf84adc,2025-11-18T21:44:58.000Z,2025-11-18T21:45:21.000Z,02081fa1-0bfc-45ba-a391-f156bdf84adc,18/11/2025,House garden,Eastern Cat-mint,Owen,
057afff7-d80e-4fad-9626-a6d3e2799247,2025-11-18T21:43:55.000Z,2025-11-18T21:45:19.000Z,057afff7-d80e-4fad-9626-a6d3e2799247,18/11/2025,"""Native"" garden",Pot Marigold,Owen,
057afff7-d80e-4fad-9626-a6d3e2799247,2025-11-18T21:43:55.000Z,2025-11-18T21:45:19.000Z,057afff7-d80e-4fad-9626-a6d3e2799247,18/11/2025,"""Native"" garden",Sweet Alyssum,Owen,
057afff7-d80e-4fad-9626-a6d3e2799247,2025-11-18T21:43:55.000Z,2025-11-18T21:45:19.000Z,057afff7-d80e-4fad-9626-a6d3e2799247,18/11/2025,"""Native"" garden",Black-eyed Susan,Owen,
14e30892-e930-4f0b-8d72-9e12dffb44cd,2025-11-17T20:11:32.000Z,2025-11-17T20:11:41.000Z,14e30892-e930-4f0b-8d72-9e12dffb44cd,17/11/2025,"""Native"" garden",Sweet William Catchfly,Liz,
14e30892-e930-4f0b-8d72-9e12dffb44cd,2025-11-17T20:11:32.000Z,2025-11-17T20:11:41.000Z,14e30892-e930-4f0b-8d72-9e12dffb44cd,17/11/2025,"""Native"" garden",Pot Marigold,Liz,
5604ac91-6e71-4d4c-b40d-67a4440ddffc,2025-11-17T19:59:24.000Z,2025-11-17T20:11:39.000Z,5604ac91-6e71-4d4c-b40d-67a4440ddffc,17/11/2025,House garden,Pansy,Liz,
5604ac91-6e71-4d4c-b40d-67a4440ddffc,2025-11-17T19:59:24.000Z,2025-11-17T20:11:39.000Z,5604ac91-6e71-4d4c-b40d-67a4440ddffc,17/11/2025,House garden,Hollyhock,Liz,
5604ac91-6e71-4d4c-b40d-67a4440ddffc,2025-11-17T19:59:24.000Z,2025-11-17T20:11:39.000Z,5604ac91-6e71-4d4c-b40d-67a4440ddffc,17/11/2025,House garden,Eastern Cat-mint,Liz,
5604ac91-6e71-4d4c-b40d-67a4440ddffc,2025-11-17T19:59:24.000Z,2025-11-17T20:11:39.000Z,5604ac91-6e71-4d4c-b40d-67a4440ddffc,17/11/2025,House garden,Salvia,Liz,
f35f593d-5cc9-43c2-a989-81a1d0b67304,2025-11-16T22:45:04.000Z,2025-11-16T22:45:16.000Z,f35f593d-5cc9-43c2-a989-81a1d0b67304,16/11/2025,Other,Chrysanthemum,Owen,
702ee13d-d4d1-4053-9e83-adb2b187010e,2025-11-16T22:44:36.000Z,2025-11-16T22:45:13.000Z,702ee13d-d4d1-4053-9e83-adb2b187010e,16/11/2025,"""Native"" garden",Pot Marigold,Owen,
702ee13d-d4d1-4053-9e83-adb2b187010e,2025-11-16T22:44:36.000Z,2025-11-16T22:45:13.000Z,702ee13d-d4d1-4053-9e83-adb2b187010e,16/11/2025,"""Native"" garden",Sweet Alyssum,Owen,
b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,2025-11-16T22:43:48.000Z,2025-11-16T22:45:11.000Z,b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,16/11/2025,House garden,Pansy,Owen,
b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,2025-11-16T22:43:48.000Z,2025-11-16T22:45:11.000Z,b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,16/11/2025,House garden,Foxglove,Owen,
b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,2025-11-16T22:43:48.000Z,2025-11-16T22:45:11.000Z,b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,16/11/2025,House garden,Salvia,Owen,
b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,2025-11-16T22:43:48.000Z,2025-11-16T22:45:11.000Z,b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,16/11/2025,House garden,Eastern Cat-mint,Owen,
b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,2025-11-16T22:43:48.000Z,2025-11-16T22:45:11.000Z,b4d0f97b-08dd-4797-9d13-3f5ef2b50b64,16/11/2025,House garden,Hollyhock,Owen,
5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,2025-11-15T20:03:42.000Z,2025-11-15T20:03:53.000Z,5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,15/11/2025,House garden,Hollyhock,Liz,
5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,2025-11-15T20:03:42.000Z,2025-11-15T20:03:53.000Z,5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,15/11/2025,House garden,Salvia,Liz,
5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,2025-11-15T20:03:42.000Z,2025-11-15T20:03:53.000Z,5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,15/11/2025,House garden,Eastern Cat-mint,Liz,
5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,2025-11-15T20:03:42.000Z,2025-11-15T20:03:53.000Z,5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,15/11/2025,House garden,Pansy,Liz,
5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,2025-11-15T20:03:42.000Z,2025-11-15T20:03:53.000Z,5ef4b86d-5c89-4f37-8d1a-19b9d5e9aeec,15/11/2025,House garden,Foxglove,Liz,
d0b0e80b-06ab-4436-bb44-772aef8ddd85,2025-11-15T20:02:48.000Z,2025-11-15T20:03:50.000Z,d0b0e80b-06ab-4436-bb44-772aef8ddd85,15/11/2025,"""Native"" garden",Sweet Alyssum,Liz,
d0b0e80b-06ab-4436-bb44-772aef8ddd85,2025-11-15T20:02:48.000Z,2025-11-15T20:03:50.000Z,d0b0e80b-06ab-4436-bb44-772aef8ddd85,15/11/2025,"""Native"" garden",Pot Marigold,Liz,
d0b0e80b-06ab-4436-bb44-772aef8ddd85,2025-11-15T20:02:48.000Z,2025-11-15T20:03:50.000Z,d0b0e80b-06ab-4436-bb44-772aef8ddd85,15/11/2025,"""Native"" garden",Cornflower,Liz,
f4f73fe2-f641-4752-824f-b10f01870839,2025-11-14T18:22:29.000Z,2025-11-16T00:01:46.000Z,f4f73fe2-f641-4752-824f-b10f01870839,14/11/2025,Other,Chrysanthemum,Owen,
a5750815-a65b-4d6b-bd07-539a768597c3,2025-11-14T18:21:48.000Z,2025-11-16T00:01:44.000Z,a5750815-a65b-4d6b-bd07-539a768597c3,14/11/2025,House garden,Pansy,Owen,
a5750815-a65b-4d6b-bd07-539a768597c3,2025-11-14T18:21:48.000Z,2025-11-16T00:01:44.000Z,a5750815-a65b-4d6b-bd07-539a768597c3,14/11/2025,House garden,Foxglove,Owen,
a5750815-a65b-4d6b-bd07-539a768597c3,2025-11-14T18:21:48.000Z,2025-11-16T00:01:44.000Z,a5750815-a65b-4d6b-bd07-539a768597c3,14/11/2025,House garden,Eastern Cat-mint,Owen,
a5750815-a65b-4d6b-bd07-539a768597c3,2025-11-14T18:21:48.000Z,2025-11-16T00:01:44.000Z,a5750815-a65b-4d6b-bd07-539a768597c3,14/11/2025,House garden,Salvia,Owen,
a5750815-a65b-4d6b-bd07-539a768597c3,2025-11-14T18:21:48.000Z,2025-11-16T00:01:44.000Z,a5750815-a65b-4d6b-bd07-539a768597c3,14/11/2025,House garden,Hollyhock,Owen,
e185f114-2e0e-4c3c-b14a-5419cc895700,2025-11-14T18:21:04.000Z,2025-11-16T00:01:42.000Z,e185f114-2e0e-4c3c-b14a-5419cc895700,14/11/2025,"""Native"" garden",Pot Marigold,Owen,
e185f114-2e0e-4c3c-b14a-5419cc895700,2025-11-14T18:21:04.000Z,2025-11-16T00:01:42.000Z,e185f114-2e0e-4c3c-b14a-5419cc895700,14/11/2025,"""Native"" garden",Cornflower,Owen,
e185f114-2e0e-4c3c-b14a-5419cc895700,2025-11-14T18:21:04.000Z,2025-11-16T00:01:42.000Z,e185f114-2e0e-4c3c-b14a-5419cc895700,14/11/2025,"""Native"" garden",Sweet Alyssum,Owen,
d581f203-35a0-47b7-b466-869adaee360d,2025-11-12T22:29:25.000Z,2025-11-12T22:29:35.000Z,d581f203-35a0-47b7-b466-869adaee360d,12/11/2025,Other,Chrysanthemum,Owen,
75cd5dd2-ac92-4f64-9062-6163fee960ed,2025-11-12T22:28:58.000Z,2025-11-12T22:29:33.000Z,75cd5dd2-ac92-4f64-9062-6163fee960ed,12/11/2025,House garden,Hollyhock,Owen,
75cd5dd2-ac92-4f64-9062-6163fee960ed,2025-11-12T22:28:58.000Z,2025-11-12T22:29:33.000Z,75cd5dd2-ac92-4f64-9062-6163fee960ed,12/11/2025,House garden,Eastern Cat-mint,Owen,
75cd5dd2-ac92-4f64-9062-6163fee960ed,2025-11-12T22:28:58.000Z,2025-11-12T22:29:33.000Z,75cd5dd2-ac92-4f64-9062-6163fee960ed,12/11/2025,House garden,Salvia,Owen,
75cd5dd2-ac92-4f64-9062-6163fee960ed,2025-11-12T22:28:58.000Z,2025-11-12T22:29:33.000Z,75cd5dd2-ac92-4f64-9062-6163fee960ed,12/11/2025,House garden,Foxglove,Owen,
9eac543f-b882-41a9-abdc-350fae4c3bdb,2025-11-12T22:27:23.000Z,2025-11-12T22:29:30.000Z,9eac543f-b882-41a9-abdc-350fae4c3bdb,12/11/2025,"""Native"" garden",Cornflower,Owen,
9eac543f-b882-41a9-abdc-350fae4c3bdb,2025-11-12T22:27:23.000Z,2025-11-12T22:29:30.000Z,9eac543f-b882-41a9-abdc-350fae4c3bdb,12/11/2025,"""Native"" garden",Pot Marigold,Owen,
9eac543f-b882-41a9-abdc-350fae4c3bdb,2025-11-12T22:27:23.000Z,2025-11-12T22:29:30.000Z,9eac543f-b882-41a9-abdc-350fae4c3bdb,12/11/2025,"""Native"" garden",Plains Coreopsis,Owen,
9eac543f-b882-41a9-abdc-350fae4c3bdb,2025-11-12T22:27:23.000Z,2025-11-12T22:29:30.000Z,9eac543f-b882-41a9-abdc-350fae4c3bdb,12/11/2025,"""Native"" garden",Sweet Alyssum,Owen,
9eac543f-b882-41a9-abdc-350fae4c3bdb,2025-11-12T22:27:23.000Z,2025-11-12T22:29:30.000Z,9eac543f-b882-41a9-abdc-350fae4c3bdb,12/11/2025,"""Native"" garden",Black-eyed Susan,Owen,
4cfbc4d6-0d2a-4b0f-83ec-6f224f04a843,2025-11-11T23:26:38.000Z,2025-11-11T23:26:48.000Z,4cfbc4d6-0d2a-4b0f-83ec-6f224f04a843,11/11/2025,Other,Chrysanthemum,Owen,
c99d2f9e-70d9-4a1e-b017-3227036ae781,2025-11-11T23:26:19.000Z,2025-11-11T23:26:46.000Z,c99d2f9e-70d9-4a1e-b017-3227036ae781,11/11/2025,House garden,Hollyhock,Owen,
